,Forecast
2026-06-30,411.6226154517617
2026-07-01,416.1252789495449
2026-07-02,418.89869682492935
2026-07-03,417.97549350736705
2026-07-06,418.07598865387456
2026-07-07,417.8331312382793
2026-07-08,415.29596316789247
2026-07-09,414.0603618115017
2026-07-10,413.25669753796905
2026-07-13,414.3524102470103
2026-07-14,415.1774667263902
2026-07-15,416.94048176277744
2026-07-16,417.33662934246996
2026-07-17,417.06460796039704
2026-07-20,415.2686232211195
2026-07-21,414.5707826569197
2026-07-22,414.21740124744974
2026-07-23,414.616447939261
2026-07-24,415.1192668656794
2026-07-27,416.2409808865525
2026-07-28,416.90572779296235
2026-07-29,417.1077117997062
2026-07-30,415.8555606481371
2026-07-31,414.7081870904896
2026-08-03,414.0544469676942
2026-08-04,414.1231924943755
2026-08-05,414.4731770153478
2026-08-06,415.13480363061745
2026-08-07,415.7809186082147
2026-08-10,416.25505879868626
2026-08-11,415.9580802082677
2026-08-12,415.37492860065333
2026-08-13,414.90786713620025
2026-08-14,414.8390023707314
2026-08-17,414.9463878191476
2026-08-18,415.2698943367275
2026-08-19,415.6015465465018
2026-08-20,415.87657249736185
2026-08-21,415.7628217556919
2026-08-24,415.2513910364476
2026-08-25,414.8004118124856
2026-08-26,414.7894681664889
2026-08-27,414.98162635012585
2026-08-28,415.3420364828979
2026-08-31,415.7086982312911
2026-09-01,416.1424343434868
2026-09-02,416.29874667677433
2026-09-03,416.0812921182647
2026-09-04,415.6799751896986
2026-09-07,415.2249421052533
2026-09-08,414.96296995420545
2026-09-09,414.98280875397006
2026-09-10,415.2185336611643
2026-09-11,415.6141506759256
2026-09-14,416.0153936370139
2026-09-15,416.2119344522675
2026-09-16,416.183888687868
2026-09-17,415.92175021009785
2026-09-18,415.57747766487216
2026-09-21,415.35623085738314
2026-09-22,415.1409236009083
2026-09-23,415.1009803896544
2026-09-24,415.20073345990994
2026-09-25,415.373429117167
2026-09-28,415.5676412844552
2026-09-29,415.6904911474509
2026-09-30,415.6623514833442
2026-10-01,415.52518973171436
2026-10-02,415.35475869320913
2026-10-05,415.2485859026653
2026-10-06,415.24069150047126
2026-10-07,415.3348723520654
2026-10-08,415.467323857205
2026-10-09,415.5786160016131
2026-10-12,415.6079781771055
2026-10-13,415.5567036560054
2026-10-14,415.4505607166362
2026-10-15,415.3499550035602
2026-10-16,415.2981830151857
2026-10-19,415.3200572466983
2026-10-20,415.39324517343323
2026-10-21,415.483615084969
2026-10-22,415.54234316124536
2026-10-23,415.5495582530814
2026-10-26,415.50486246277256
2026-10-27,415.4364150601062
2026-10-28,415.3760177901025
2026-10-29,415.3536090218924
2026-10-30,415.3741566316147
2026-11-02,415.4254950859035
2026-11-03,415.4784700479325
2026-11-04,415.510100296979
2026-11-05,415.5063066683793
2026-11-06,415.4723188993159
2026-11-09,415.42441832111285
2026-11-10,415.3870450499718
2026-11-11,415.37631327340637
2026-11-12,415.3963701454068
2026-11-13,415.4349345181223
2026-11-16,415.474116352874
2026-11-17,415.4967513441049
2026-11-18,415.493992458626
2026-11-19,415.46651366496707
2026-11-20,415.4277598888121
2026-11-23,415.3950762583382
2026-11-24,415.3833708716276
2026-11-25,415.39570799293506
2026-11-26,415.4254130522401
2026-11-27,415.4588818550985
2026-11-30,415.4816510056321
2026-12-01,415.4846126792827
2026-12-02,415.4677448454581
2026-12-03,415.43910487386654
2026-12-04,415.4121574096938
2026-12-07,415.3983460808233
2026-12-08,415.402412232481
2026-12-09,415.4212070556857
2026-12-10,415.4456103922131
2026-12-11,415.46488155908315
2026-12-14,415.47136840329733
2026-12-15,415.46283421608007
2026-12-16,415.4449241489587
2026-12-17,415.42668898779186
2026-12-18,415.41659168503946
2026-12-21,415.4185919283343
2026-12-22,415.43053742825174
2026-12-23,415.44577136659535
2026-12-24,415.45702323448313
2026-12-25,415.45942558736454
2026-12-28,415.4527365568368
2026-12-29,415.440862766616
2026-12-30,415.4298357813418
2026-12-31,415.42456330672985
2027-01-01,415.42692705090144
2027-01-04,415.43510653474954
2027-01-05,415.44494169233076
2027-01-06,415.45181542797087
2027-01-07,415.45288713861686
2027-01-08,415.4481225053325
2027-01-11,415.4402009334603
2027-01-12,415.4329481973558
2027-01-13,415.4296096816316
2027-01-14,415.4313307624049
2027-01-15,415.43695565027224
2027-01-18,415.44363978932677
2027-01-19,415.44830676552647
2027-01-20,415.44897180892644
2027-01-21,415.4456340241223
2027-01-22,415.44007864759243
2027-01-25,415.43499426526466
2027-01-26,415.4326352553481
2027-01-27,415.4338966385709
2027-01-28,415.437965005796
2027-01-29,415.4428365606194
2027-02-01,415.44625145299847
2027-02-02,415.4467632822798
2027-02-03,415.44431246211036
2027-02-04,415.4401968546996
2027-02-05,415.436368974562
2027-02-08,415.4345385638623
2027-02-09,415.4353984791891
2027-02-10,415.4383950874569
2027-02-11,415.44204231558376
2027-02-12,415.4446709708653
2027-02-15,415.44517261353354
2027-02-16,415.44347621424305
2027-02-17,415.4404927779065
2027-02-18,415.4376499333976
2027-02-19,415.4362021643632
2027-02-22,415.4366873883501
2027-02-23,415.4387366843193
2027-02-24,415.44131453201686
2027-02-25,415.443226695296
2027-02-26,415.4436773433309
2027-03-01,415.442587309749
2027-03-02,415.4405758580684
2027-03-03,415.43862211234074
2027-03-04,415.4375957992017
